thread,exec_time,allocator
1,1470.456388,pmdk
2,845.857323,pmdk
4,487.032474,pmdk
6,342.848543,pmdk
10,,pmdk
16,,pmdk
20,,pmdk
24,167.798958,pmdk
32,,pmdk
40,,pmdk
48,174.937501,pmdk
60,,pmdk
72,187.351116,pmdk
80,,pmdk
84,,pmdk
88,203.661030,pmdk
1,1461.572942,pmdk
2,842.617154,pmdk
4,486.245751,pmdk
6,342.543874,pmdk
10,,pmdk
16,,pmdk
20,,pmdk
24,168.643951,pmdk
32,,pmdk
40,,pmdk
48,177.479561,pmdk
60,,pmdk
72,191.925638,pmdk
80,,pmdk
84,,pmdk
88,207.183359,pmdk
1,1457.024191,pmdk
2,835.354515,pmdk
4,485.818259,pmdk
6,341.798028,pmdk
10,,pmdk
16,,pmdk
20,,pmdk
24,169.564953,pmdk
32,,pmdk
40,,pmdk
48,175.024678,pmdk
60,,pmdk
72,189.289211,pmdk
80,,pmdk
84,,pmdk
88,206.090425,pmdk
