thread,exec_time,allocator
1,21.070696,r
2,12.618756,r
4,7.973906,r
6,4.860944,r
10,4.122758,r
16,2.302349,r
20,2.220449,r
24,2.219174,r
32,1.794717,r
40,2.879593,r
48,1.962656,r
60,2.173667,r
72,2.127905,r
80,4.277967,r
84,3.322542,r
88,2.844471,r
1,27.685028,r
2,13.480545,r
4,8.001076,r
6,4.888659,r
10,4.093639,r
16,2.329569,r
20,2.256386,r
24,2.261419,r
32,1.785043,r
40,2.777134,r
48,1.971700,r
60,2.321846,r
72,2.363137,r
80,3.797616,r
84,2.903996,r
88,2.778925,r
1,27.470031,r
2,13.426131,r
4,7.969154,r
6,4.890701,r
10,4.192080,r
16,2.313723,r
20,2.226591,r
24,2.254389,r
32,1.783867,r
40,2.868890,r
48,1.984210,r
60,2.440815,r
72,2.258632,r
80,3.797577,r
84,3.155664,r
88,2.913814,r
