thread,exec_time,allocator
1,38.745094,je
2,18.840488,je
4,9.646516,je
6,6.549557,je
10,4.194552,je
16,3.105643,je
20,2.597296,je
24,3.582108,je
32,2.862805,je
40,2.583853,je
48,2.149911,je
60,1.694370,je
72,1.402568,je
80,1.253945,je
84,1.626990,je
88,1.519992,je
1,38.555217,je
2,18.823424,je
4,9.639470,je
6,6.549551,je
10,4.190215,je
16,3.224454,je
20,2.630367,je
24,3.588690,je
32,2.867520,je
40,2.575478,je
48,2.135531,je
60,1.716964,je
72,1.408782,je
80,1.265865,je
84,1.626521,je
88,1.523764,je
1,38.563432,je
2,18.858798,je
4,9.665349,je
6,6.553878,je
10,4.193122,je
16,3.108503,je
20,2.635120,je
24,3.579783,je
32,2.858967,je
40,2.580168,je
48,2.126695,je
60,1.706440,je
72,1.391887,je
80,1.254009,je
84,1.638623,je
88,1.527422,je
