thread,exec_time,allocator
1,33.141721,lr
2,16.376868,lr
4,6.175831,lr
6,4.243771,lr
10,2.806620,lr
16,2.266148,lr
20,2.094973,lr
24,2.341966,lr
32,2.023554,lr
40,1.793302,lr
48,6.353805,lr
60,10.086470,lr
72,11.580511,lr
80,14.301140,lr
84,13.223685,lr
88,10.681257,lr
1,32.838150,lr
2,15.636617,lr
4,6.211252,lr
6,4.248901,lr
10,2.784799,lr
16,2.247228,lr
20,2.095447,lr
24,2.330113,lr
32,2.028009,lr
40,1.806202,lr
48,6.353022,lr
60,10.007317,lr
72,12.446661,lr
80,12.575140,lr
84,12.821451,lr
88,9.257601,lr
1,32.802896,lr
2,15.107123,lr
4,6.153375,lr
6,4.236141,lr
10,2.794744,lr
16,2.261788,lr
20,2.082684,lr
24,2.341934,lr
32,2.029684,lr
40,1.814099,lr
48,6.444999,lr
60,10.012518,lr
72,12.727933,lr
80,11.771121,lr
84,10.974186,lr
88,9.967966,lr
