thread,exec_time,allocator
1,320.027267,mak
2,60.646263,mak
4,47.059344,mak
6,45.633941,mak
10,39.881547,mak
16,47.218146,mak
20,54.696146,mak
24,48.146901,mak
32,48.007553,mak
40,51.422572,mak
48,71.400170,mak
60,91.465897,mak
72,98.989597,mak
80,97.215824,mak
84,97.173121,mak
88,79.648570,mak
1,319.604281,mak
2,63.015466,mak
4,47.146187,mak
6,45.748615,mak
10,39.998514,mak
16,46.293460,mak
20,54.826536,mak
24,48.480542,mak
32,48.331482,mak
40,51.625693,mak
48,70.965284,mak
60,90.302535,mak
72,98.340636,mak
80,99.625048,mak
84,96.487466,mak
88,80.327306,mak
1,319.538058,mak
2,55.552946,mak
4,46.799178,mak
6,45.378184,mak
10,40.574831,mak
16,46.902303,mak
20,54.544823,mak
24,48.191332,mak
32,47.907037,mak
40,51.677446,mak
48,71.008329,mak
60,89.378457,mak
72,97.506235,mak
80,97.803742,mak
84,96.868524,mak
88,79.124015,mak
