thread,exec_time,allocator
1,1691.096834,pmdk
2,954.334689,pmdk
4,557.782857,pmdk
6,396.687022,pmdk
10,261.447336,pmdk
16,175.502574,pmdk
20,146.033734,pmdk
24,166.718163,pmdk
32,136.081144,pmdk
40,112.559920,pmdk
48,128.695063,pmdk
60,83.250199,pmdk
72,81.341276,pmdk
80,74.502421,pmdk
84,123.646041,pmdk
88,117.623047,pmdk
1,1689.089500,pmdk
2,940.396611,pmdk
4,561.447375,pmdk
6,399.871071,pmdk
10,257.265001,pmdk
16,172.020822,pmdk
20,155.596442,pmdk
24,159.563335,pmdk
32,133.762496,pmdk
40,113.880986,pmdk
48,119.692036,pmdk
60,95.776858,pmdk
72,83.095836,pmdk
80,78.480207,pmdk
84,133.625719,pmdk
88,118.257394,pmdk
1,1698.892456,pmdk
2,945.760039,pmdk
4,559.500666,pmdk
6,409.212670,pmdk
10,262.921717,pmdk
16,176.813932,pmdk
20,145.974555,pmdk
24,164.114311,pmdk
32,132.339209,pmdk
40,114.075109,pmdk
48,125.064678,pmdk
60,88.785219,pmdk
72,84.627242,pmdk
80,85.098787,pmdk
84,103.448168,pmdk
88,101.187341,pmdk
