thread,exec_time,allocator
1,27.723941,r
2,13.801252,r
4,7.339548,r
6,5.111066,r
10,3.388551,r
16,2.644505,r
20,2.432483,r
24,3.121612,r
32,2.687394,r
40,2.295128,r
48,3.847986,r
60,3.711920,r
72,4.606312,r
80,4.614169,r
84,5.311468,r
88,4.695202,r
1,27.246582,r
2,13.803694,r
4,7.329813,r
6,5.105276,r
10,3.395511,r
16,2.646510,r
20,2.445088,r
24,3.104953,r
32,2.688795,r
40,2.324029,r
48,3.891076,r
60,3.728057,r
72,4.555103,r
80,4.831661,r
84,4.998711,r
88,4.803132,r
1,27.161880,r
2,13.789450,r
4,7.337044,r
6,5.103591,r
10,3.394627,r
16,2.649186,r
20,2.447311,r
24,3.097314,r
32,2.699908,r
40,2.313039,r
48,3.823590,r
60,3.867793,r
72,4.330304,r
80,4.898590,r
84,5.220448,r
88,4.675061,r
