thread,kops,allocator
1,1614.04,r
1,1645.96,r
1,1671.99,r
2,1709.66,r
2,1739.51,r
2,1712.25,r
4,1762.52,r
4,1844.99,r
4,1789.23,r
6,1824.19,r
6,1812.77,r
6,1835.94,r
8,1736.15,r
8,1766.44,r
8,1786.12,r
10,1740.86,r
10,1692.78,r
10,1742.28,r
12,1698.09,r
12,1662.73,r
12,1704.26,r
16,1586.6,r
16,1619.92,r
16,1626.65,r
20,1537.27,r
20,1524,r
20,1538.08,r
24,1489.94,r
24,1528.41,r
24,1491.96,r
28,1497.72,r
28,1484.3,r
28,1441.06,r
32,1477.02,r
32,1528.63,r
32,1519.81,r
36,1472.05,r
36,1456.35,r
36,1467.54,r
40,1489.24,r
40,1459.67,r
40,1496.69,r
44,1301.45,r
44,1269.39,r
44,1268.11,r
48,1174.88,r
48,1184.92,r
48,1174.98,r
52,1146.53,r
52,1175.66,r
52,1151.69,r
58,1112.92,r
58,1089.59,r
58,1094.52,r
62,1045.44,r
62,1053.19,r
62,1080.48,r
70,1040.06,r
70,1056.82,r
70,977.263,r
80,1013.84,r
80,1043.58,r
80,1128.45,r
88,979.381,r
88,1021.71,r
88,1012.96,r
1,1699.55,mak
1,1691.27,mak
1,1682.92,mak
2,1569.67,mak
2,1586.58,mak
2,1555.89,mak
4,1435.22,mak
4,1459.96,mak
4,1443.94,mak
6,1403.59,mak
6,1383,mak
6,1322.19,mak
8,1368.56,mak
8,1357.12,mak
8,1373.94,mak
10,1363.78,mak
10,1356.29,mak
10,1364.32,mak
12,1317.65,mak
12,1345.49,mak
12,1350.65,mak
16,1254.7,mak
16,1286.59,mak
16,1282.66,mak
20,1226.38,mak
20,1265.16,mak
20,1251.26,mak
24,1253.85,mak
24,1254.25,mak
24,1243.84,mak
28,1196.31,mak
28,1246.49,mak
28,1260.91,mak
32,1266,mak
32,1241.72,mak
32,1257.58,mak
36,1250.8,mak
36,1266.02,mak
36,1265.4,mak
40,1252,mak
40,1275.29,mak
40,1280.05,mak
44,1074.47,mak
44,1093.28,mak
44,1099.69,mak
48,1008.28,mak
48,985.558,mak
48,1006.44,mak
52,926.489,mak
52,938.551,mak
52,942.952,mak
58,897.859,mak
58,891.373,mak
58,889.734,mak
62,867.071,mak
62,877.181,mak
62,863.103,mak
70,845.84,mak
70,831.889,mak
70,860.132,mak
80,844.975,mak
80,839.302,mak
80,862.408,mak
88,828.494,mak
88,844.566,mak
88,834.96,mak
1,1728.14,je
1,1795.83,je
1,1766.97,je
2,1748.17,je
2,1802.02,je
2,1829.48,je
4,1831.75,je
4,1877.25,je
4,1858.72,je
6,1871.4,je
6,1860.46,je
6,1900.08,je
8,1797.02,je
8,1856.49,je
8,1852.55,je
10,1782.58,je
10,1794.96,je
10,1744.37,je
12,1727.13,je
12,1730.95,je
12,1757.53,je
16,1644.36,je
16,1705.73,je
16,1622,je
20,1619.86,je
20,1620.96,je
20,1568.94,je
24,1631.22,je
24,1576.83,je
24,1591.52,je
28,1585.26,je
28,1574.53,je
28,1594.91,je
32,1591.29,je
32,1581.09,je
32,1603.57,je
36,1580.8,je
36,1601.58,je
36,1606.53,je
40,1576.13,je
40,1563.86,je
40,1577.62,je
44,861.09,je
44,883.42,je
44,872.083,je
48,732.438,je
48,741.182,je
48,730.276,je
52,674.079,je
52,658.851,je
52,678.925,je
58,622.633,je
58,597.331,je
58,609.481,je
62,611.784,je
62,611.961,je
62,554.46,je
70,565.12,je
70,555.219,je
70,596.438,je
80,580.193,je
80,571.354,je
80,573.52,je
88,595.764,je
88,608.51,je
88,597.618,je
1,1618.22,lr
1,1603.53,lr
1,1642.33,lr
2,1673.12,lr
2,1659.19,lr
2,1703.18,lr
4,1796.94,lr
4,1837.41,lr
4,1841.37,lr
6,1815.89,lr
6,1816.35,lr
6,1801.09,lr
8,1779.05,lr
8,1766.9,lr
8,1749.97,lr
10,1742.68,lr
10,1760.01,lr
10,1765.47,lr
12,1658.28,lr
12,1679.95,lr
12,1651.94,lr
16,1598.75,lr
16,1586.46,lr
16,1615.72,lr
20,1554.02,lr
20,1550.62,lr
20,1551.43,lr
24,1461.97,lr
24,1530.59,lr
24,1504.49,lr
28,1517.62,lr
28,1475.01,lr
28,1481.89,lr
32,1480.34,lr
32,1519.33,lr
32,1424.71,lr
36,1493.46,lr
36,1482.4,lr
36,1430.27,lr
40,1467.87,lr
40,1483.77,lr
40,1478.31,lr
44,1244.23,lr
44,1308.46,lr
44,1299.71,lr
48,1189.47,lr
48,1175.06,lr
48,1158.63,lr
52,1172.2,lr
52,1122.65,lr
52,1094.8,lr
58,1083.04,lr
58,1069.18,lr
58,1084.99,lr
62,1089.5,lr
62,1055.57,lr
62,1064.62,lr
70,1035.79,lr
70,1058.48,lr
70,1088.46,lr
80,1078.7,lr
80,1066.79,lr
80,1063.81,lr
88,1029.3,lr
88,996.985,lr
88,1034.34,lr
1,1273.02,pmdk
1,1276.4,pmdk
1,1279.72,pmdk
2,1497.56,pmdk
2,1580.34,pmdk
2,1528.43,pmdk
4,1761.39,pmdk
4,1754.31,pmdk
4,1763.68,pmdk
6,1777.64,pmdk
6,1764.44,pmdk
6,1760.61,pmdk
8,1715.16,pmdk
8,1702.39,pmdk
8,1705.19,pmdk
10,1665.9,pmdk
10,1660.09,pmdk
10,1680.75,pmdk
12,1599.07,pmdk
12,1599.64,pmdk
12,1586.99,pmdk
16,1497.88,pmdk
16,1512.84,pmdk
16,1501.65,pmdk
20,1515.37,pmdk
20,1497.21,pmdk
20,1522.99,pmdk
24,1479.51,pmdk
24,1488.89,pmdk
24,1479.73,pmdk
28,1504.33,pmdk
28,1516.06,pmdk
28,1509.91,pmdk
32,1467.43,pmdk
32,1471.57,pmdk
32,1484.85,pmdk
36,1476.98,pmdk
36,1510.86,pmdk
36,1461.88,pmdk
40,1471.53,pmdk
40,1473.57,pmdk
40,1476.85,pmdk
44,1272.51,pmdk
44,1287.24,pmdk
44,1267.55,pmdk
48,1189.5,pmdk
48,1172.77,pmdk
48,1185.61,pmdk
52,1107.28,pmdk
52,1109.7,pmdk
52,1098.29,pmdk
58,1009.94,pmdk
58,1062.37,pmdk
58,1047.31,pmdk
62,1024.05,pmdk
62,1012.85,pmdk
62,1039.36,pmdk
70,997.924,pmdk
70,949.503,pmdk
70,1004.2,pmdk
80,989.838,pmdk
80,1003.81,pmdk
80,951.881,pmdk
88,986.659,pmdk
88,956.267,pmdk
88,975.327,pmdk
